term_index,term,path,save_ms,api_ms,total_ms
1,우주항공,API_miss,24.4291,187.3453,226.4112
2,드론항공,API_miss,28.7855,196.9797,234.1693
3,드론 택시,API_miss,18.5396,181.2992,213.086
4,전기차,API_miss,29.7533,186.3032,223.3415
5,하이브리드카,API_miss,21.5888,182.0414,209.8286
6,수소차,API_miss,23.484,178.2485,209.7261
7,충전소,API_miss,29.5329,185.4626,222.1791
8,배터리 셀,API_miss,21.0773,184.1388,211.4798
9,양극재,API_miss,36.029,181.2977,236.5457
10,음극재,API_miss,21.3886,183.9441,212.5494
11,전고체 배터리,API_miss,22.132,183.162,212.4771
12,lfp 배터리,API_miss,20.1815,176.2806,203.738
13,에너지저장장치,API_miss,33.7866,192.4252,234.8636
14,ess,API_miss,53.1572,192.5491,252.1545
15,재생에너지,API_miss,21.367,189.4692,217.079
16,태양광,API_miss,26.0585,184.8851,217.6859
17,풍력,API_miss,22.6162,185.4565,216.1682
18,수력,API_miss,34.6619,190.2108,231.9211
19,지열,API_miss,23.482,182.2598,213.3105
20,조력,API_miss,21.9929,184.5183,212.4338
21,수소에너지,API_miss,25.3757,189.8304,222.8924
22,암모니아,API_miss,26.8535,190.9549,227.0627
23,탄소포집,API_miss,22.8045,187.3372,217.8986
24,ccus,API_miss,22.8977,183.4385,212.2356
25,스마트 팩토리,API_miss,30.7081,185.6348,223.0577
26,공정자동화,API_miss,26.2406,187.3926,220.1286
27,협동로봇,API_miss,24.7592,188.633,219.0378
28,물류자동화,API_miss,23.5045,190.7714,229.7768
29,agv,API_miss,21.2082,180.8903,207.5114
30,amr,API_miss,25.3604,182.5665,217.19
31,스마트 물류,API_miss,22.5808,366.3898,396.4156
32,콜드체인,API_miss,24.0339,182.4058,213.5104
33,라스트마일,API_miss,20.9912,206.9763,233.7275
34,이커머스,API_miss,34.0073,187.7369,229.1157
35,플랫폼 경제,API_miss,22.9296,180.9688,211.2846
36,구독 서비스,API_miss,28.1639,180.687,216.1397
37,공유경제,API_miss,22.2484,182.6829,211.1131
38,긱 이코노미,API_miss,21.442,188.2417,215.7878
39,핀테크,API_miss,23.2969,176.9881,207.408
40,인터넷은행,API_miss,24.4086,180.4362,211.6446
41,모바일 결제,API_miss,22.5418,188.507,217.9491
42,간편결제,API_miss,25.3767,184.4733,217.7228
43,오픈뱅킹,API_miss,27.2301,194.4522,228.2706
44,마이데이터,API_miss,23.3147,180.8487,210.6435
45,인슈어테크,API_miss,28.4992,202.4388,238.0183
46,레그테크,API_miss,23.1514,178.2132,207.4888
47,프롭테크,API_miss,23.2057,180.6667,211.0799
48,에듀테크,API_miss,24.2806,182.6931,217.2402
49,헬스케어 서비스,API_miss,30.4515,184.2364,220.5568
50,원격진료,API_miss,21.9685,193.8489,223.1915
51,디지털 치료제,API_miss,22.333,186.7023,215.3957
52,바이오시밀러,API_miss,22.0577,192.1734,220.1237
53,합성생물학,API_miss,20.5921,181.4322,208.9906
54,유전자 가위,API_miss,23.6429,184.5395,215.0715
55,줄기세포,API_miss,32.6264,196.762,236.4744
56,백신 개발,API_miss,46.9788,188.8996,241.7634
57,신약 개발,API_miss,23.2039,197.4371,226.9687
58,임상시험,API_miss,25.6802,180.0301,226.7847
59,제약 산업,API_miss,23.8353,181.7273,211.2434
60,의료기기,API_miss,21.4549,187.5332,216.4296
61,정밀의료,API_miss,21.6223,186.5465,215.4337
62,맞춤의료,API_miss,24.7299,184.8184,215.7187
63,뇌과학,API_miss,21.4765,184.4391,213.7076
64,신경망 인터페이스,API_miss,28.1117,179.4045,213.2676
65,웨어러블 의료기기,API_miss,22.6965,188.3264,220.6551
66,스마트 헬스,API_miss,23.402,177.8452,207.52
67,헬스케어 데이터,API_miss,23.5146,183.8348,215.5667
68,건강보험,API_miss,38.3511,180.0406,224.3688
69,공공의료,API_miss,22.6334,179.3947,210.3904
70,민간의료,API_miss,23.1625,180.452,209.9206
71,병원 경영,API_miss,23.5012,183.4201,214.37
72,의료법,API_miss,22.0062,181.2712,209.0587
73,보건복지,API_miss,21.9748,184.8419,212.6886
74,전염병,API_miss,22.6375,180.395,211.2391
75,팬데믹,API_miss,23.0566,179.1408,208.7081
76,방역,API_miss,26.5994,188.6062,223.3861
77,검역,API_miss,24.3927,183.5077,214.1921
78,위생,API_miss,21.4055,183.1372,211.6144
79,공공인프라,API_miss,25.7476,182.7527,216.7164
80,도로망,API_miss,22.8754,187.2702,216.8844
81,철도망,API_miss,24.6228,189.1876,220.1227
82,고속철도,API_miss,23.8581,184.8481,217.3829
83,gtx,API_miss,22.6838,185.03,214.1217
84,하이퍼루프,API_miss,21.9253,185.0393,213.9236
85,항만,API_miss,28.2951,186.1185,221.1615
86,공항,API_miss,26.6954,184.0234,216.5694
87,물류센터,API_miss,25.5584,186.7825,219.2956
88,데이터센터,API_miss,24.5354,179.2427,209.8631
89,idc,API_miss,20.9163,182.537,217.1962
90,전력망,API_miss,22.936,181.9461,212.1591
91,송전망,API_miss,22.9553,183.0955,215.2973
92,변전소,API_miss,23.4716,209.1466,239.4496
93,마이크로그리드,API_miss,23.1306,196.718,227.2332
94,총리,API_miss,22.6947,191.6721,221.2883
95,국무총리,API_miss,23.6175,188.899,218.6885
96,장관,API_miss,21.7922,180.2963,207.9155
97,차관,API_miss,23.6725,184.8376,216.0487
98,공무원,API_miss,23.0481,185.8181,214.6488
99,관료,API_miss,24.8082,457.3308,492.0761
100,의원,API_miss,36.4925,188.0145,231.5405
101,입법,API_miss,31.2857,184.4955,226.1764
102,상임위원회,API_miss,21.6265,182.7836,211.6581
103,본회의,API_miss,26.4084,183.6234,217.2463
104,정당,API_miss,20.8721,183.4795,210.9335
105,여당,API_miss,22.681,185.0242,214.5678
106,선거,API_miss,25.3728,182.3235,214.3269
107,투표,API_miss,22.2042,183.5927,211.4767
108,공천,API_miss,25.9539,184.736,217.2096
